 line0 X=-1000.000 Y=0.000 Z=265.575
 line1 X=-1000.173 Y=0.136 Z=265.575
 line2 X=-1365.945 Y=361.424 Z=265.575
 line3 X=-1410.157 Y=954.309 Z=265.575
 line4 X=-1410.477 Y=1054.835 Z=265.575
 line5 X=-1424.196 Y=454.610 Z=265.575
 line6 X=-1472.132 Y=-147.686 Z=265.575
 line7 X=-1476.658 Y=-204.142 Z=265.575
 line8 X=-1476.658 Y=-204.142 Z=265.575
 line9 X=-1476.658 Y=-204.142 Z=265.575
 line10 X=-1476.658 Y=-204.142 Z=265.575
 line11 X=-1476.658 Y=-204.142 Z=265.575
 line12 X=-1476.658 Y=-204.142 Z=265.575
 line13 X=-1476.658 Y=-204.142 Z=265.575
 line14 X=-1476.658 Y=-204.142 Z=265.575
 line15 X=-1476.658 Y=-204.142 Z=265.575
 line16 X=-1476.658 Y=-204.142 Z=265.575
 line17 X=-1476.658 Y=-204.142 Z=265.575
 line18 X=-1476.658 Y=-204.142 Z=265.575
 line19 X=-1476.658 Y=-204.142 Z=265.575
 line20 X=-1476.658 Y=-204.142 Z=265.575
 line21 X=-1476.658 Y=-204.142 Z=265.575
